,AvgShortestPath,Betweenness,CC,Closeness,D,E,Eccentricity,FanIn,FanOut,I,IsIsolated,Katz,L,LOC,N,N1,N2,Name,T,V,V*,mu,mu1,mu1',mu2,mu2'
23,0.0,0.0, 3,0.0, 3.4172, 601.64,0,0.0,0.0, 4.53874,0,0.0, 0.292637, 542, 53, 17, 36,LDiagBlockRecvWait, 33.4244, 176.062, 15.5098, 10, 0, 1, 10, 4
24,0.0,0.0, 28,0.0, 17.155, 73523.3,0,0.0,0.0, 2.5077,0,0.0, 0.0582921, 3279, 738, 252, 486,Local_Dgstrf2, 4084.63, 4285.83, 43.0196, 56, 1, 1, 55, 10
25,0.0,0.0, 4,0.0, 4.62682, 2546.74,0,0.0,0.0, 6.16608,0,0.0, 0.216131, 711, 132, 37, 95,LpanelUpdate, 141.486, 550.43, 28.5293, 18, 2, 1, 16, 7
26,0.0,0.0, CC,0.0, D, E,0,0.0,0.0, I,0,0.0, L, LOC, N, N1, N2,Name, T, V, V*, mu, mu1, mu1', mu2, mu2'
27,0.0,0.0, 0,0.0, 1.05155, 0,0,0.0,0.0, 4.52179,0,0.0, 0.950978, 98, 5, 2, 3,PStatFree, 0, 0, 4.75489, 1, 0, 1, 1, 1
28,0.0,0.0, 3,0.0, 14.932, 3180.52,0,0.0,0.0, 0.318436,0,0.0, 0.0669702, 537, 71, 21, 50,PStatInit, 176.695, 213, 4.75489, 8, 2, 1, 6, 1
29,0.0,0.0, 18,0.0, 22.912, 26340.4,0,0.0,0.0, 0.506706,0,0.0, 0.0436453, 5462, 266, 86, 180,PStatPrint, 1463.35, 1149.63, 11.6096, 20, 6, 1, 14, 3
30,0.0,0.0, 13,0.0, 14.5569, 5712.2,0,0.0,0.0, 0.797537,0,0.0, 0.0686961, 707, 169, 68, 101,ParseFloatFormat, 317.344, 392.406, 11.6096, 5, 0, 1, 5, 3
31,0.0,0.0, 13,0.0, 14.5569, 6906.4,0,0.0,0.0, 0.797537,0,0.0, 0.0686961, 773, 169, 68, 101,ParseFloatFormat, 383.689, 474.443, 11.6096, 7, 2, 1, 5, 3
32,0.0,0.0, 3,0.0, 3.96222, 364.525,0,0.0,0.0, 2.93008,0,0.0, 0.252383, 239, 46, 18, 28,ParseIntFormat, 20.2514, 92, 11.6096, 4, 0, 1, 4, 3
33,0.0,0.0, 3,0.0, 3.96222, 471.141,0,0.0,0.0, 2.93008,0,0.0, 0.252383, 239, 46, 18, 28,ParseIntFormat, 26.1745, 118.908, 11.6096, 6, 2, 1, 4, 3
34,0.0,0.0, 3,0.0, 5.5988, 727.843,0,0.0,0.0, 2.0736,0,0.0, 0.17861, 271, 65, 20, 45,PrintInt10, 40.4357, 130, 11.6096, 4, 0, 1, 4, 3
35,0.0,0.0, 3,0.0, 5.5988, 727.843,0,0.0,0.0, 2.0736,0,0.0, 0.17861, 256, 65, 20, 45,PrintInt32, 40.4357, 130, 11.6096, 4, 0, 1, 4, 3
36,0.0,0.0, 1,0.0, 3.78995, 528.61,0,0.0,0.0, 3.06327,0,0.0, 0.263855, 295, 44, 12, 32,Print_EtreeLevelBoundry, 29.3672, 139.477, 11.6096, 9, 0, 1, 9, 3
37,0.0,0.0, 3,0.0, 5.5988, 727.843,0,0.0,0.0, 2.0736,0,0.0, 0.17861, 256, 65, 20, 45,Printdouble5, 40.4357, 130, 11.6096, 4, 0, 1, 4, 3
38,0.0,0.0, 0,0.0, 3.48168, 486,0,0.0,0.0, 4.45469,0,0.0, 0.287218, 740, 54, 17, 37,QuerySpace_dist, 27, 139.588, 15.5098, 6, 0, 1, 6, 4
39,0.0,0.0, 5,0.0, 11.8566, 9556.99,0,0.0,0.0, 1.65743,0,0.0, 0.0843411, 533, 233, 80, 153,ReadVector, 530.944, 806.048, 19.6515, 11, 1, 1, 10, 5
40,0.0,0.0, 5,0.0, 11.8566, 10793.1,0,0.0,0.0, 1.65743,0,0.0, 0.0843411, 603, 233, 80, 153,ReadVector, 599.619, 910.306, 19.6515, 15, 5, 1, 10, 5
41,0.0,0.0, 1,0.0, 4.2062, 217.457,0,0.0,0.0, 1.13045,0,0.0, 0.237744, 350, 20, 7, 13,SCT_ThreadVarInit, 12.081, 51.6993, 4.75489, 6, 2, 1, 4, 1
42,0.0,0.0, 0,0.0, 1.89279, 17.0351,0,0.0,0.0, 2.51211,0,0.0, 0.528321, 460, 9, 4, 5,SCT_free, 0.946395, 9, 4.75489, 2, 1, 1, 1, 1
43,0.0,0.0, 2,0.0, 45.6373, 31392.7,0,0.0,0.0, 0.104189,0,0.0, 0.0219119, 3755, 217, 75, 142,SCT_init, 1744.04, 687.874, 4.75489, 9, 3, 1, 6, 1
44,0.0,0.0, 1,0.0, 22.125, 13009.1,0,0.0,0.0, 0.361582,0,0.0, 0.0451977, 3827, 177, 47, 130,SCT_print, 722.727, 587.981, 8, 10, 3, 1, 7, 2
45,0.0,0.0, 1,0.0, 6.75, 1306.72,0,0.0,0.0, 1.18519,0,0.0, 0.148148, 697, 54, 16, 38,SCT_print3D, 72.5955, 193.588, 8, 12, 5, 1, 7, 2
46,0.0,0.0, 1,0.0, 8.75, 1422.18,0,0.0,0.0, 0.914286,0,0.0, 0.114286, 561, 70, 21, 49,SCT_printComm3D, 79.0101, 162.535, 8, 5, 0, 1, 5, 2
47,0.0,0.0, 3,0.0, 10.853, 3175.2,0,0.0,0.0, 1.06971,0,0.0, 0.09214, 359, 126, 43, 83,SetupSpace, 176.4, 292.563, 11.6096, 5, 2, 1, 3, 3
48,0.0,0.0, 0,0.0, 2.25, 94.0381,0,0.0,0.0, 3.55556,0,0.0, 0.444444, 262, 18, 7, 11,Test_LDiagBlock_Recv, 5.22434, 41.7947, 8, 5, 0, 1, 5, 2
49,0.0,0.0, 0,0.0, 2.25, 94.0381,0,0.0,0.0, 3.55556,0,0.0, 0.444444, 262, 18, 7, 11,Test_UDiagBlock_Recv, 5.22434, 41.7947, 8, 5, 0, 1, 5, 2
50,0.0,0.0, 5,0.0, 18.125, 10959.1,0,0.0,0.0, 0.441379,0,0.0, 0.0551724, 936, 145, 46, 99,TreePostorder_dist, 608.838, 604.639, 8, 18, 4, 1, 14, 2
51,0.0,0.0, 3,0.0, 5.20833, 2945.03,0,0.0,0.0, 4.608,0,0.0, 0.192, 803, 125, 42, 83,Trs2_InitUblock_info, 163.613, 565.445, 24, 23, 0, 1, 23, 6
52,0.0,0.0, 3,0.0, 4.90971, 929.654,0,0.0,0.0, 2.36463,0,0.0, 0.203678, 505, 57, 21, 36,Wait_LDiagBlockSend, 51.6474, 189.35, 11.6096, 10, 0, 1, 10, 3
53,0.0,0.0, 0,0.0, 1.875, 56.25,0,0.0,0.0, 4.26667,0,0.0, 0.533333, 239, 15, 6, 9,Wait_LDiagBlock_Recv, 3.125, 30, 8, 4, 0, 1, 4, 2
54,0.0,0.0, 5,0.0, 5.80109, 3071.09,0,0.0,0.0, 3.38755,0,0.0, 0.172381, 668, 114, 44, 70,Wait_LSend, 170.616, 529.4, 19.6515, 25, 12, 1, 13, 5
55,0.0,0.0, 1,0.0, 1.83192, 219.079,0,0.0,0.0, 10.7272,0,0.0, 0.545875, 573, 36, 9, 27,Wait_LUDiagSend, 12.171, 119.589, 19.6515, 10, 3, 1, 7, 5
56,0.0,0.0, 3,0.0, 4.90971, 929.654,0,0.0,0.0, 2.36463,0,0.0, 0.203678, 506, 57, 21, 36,Wait_UDiagBlockSend, 51.6474, 189.35, 11.6096, 10, 0, 1, 10, 3
57,0.0,0.0, 0,0.0, 1.875, 56.25,0,0.0,0.0, 4.26667,0,0.0, 0.533333, 238, 15, 6, 9,Wait_UDiagBlock_Recv, 3.125, 30, 8, 4, 0, 1, 4, 2
58,0.0,0.0, 3,0.0, 8.01058, 2474.78,0,0.0,0.0, 1.44929,0,0.0, 0.124835, 536, 93, 37, 56,Wait_USend, 137.488, 308.939, 11.6096, 10, 0, 1, 10, 3
59,0.0,0.0, 270,0.0, 104.073, 4.29603e+06,0,0.0,0.0, 0.563101,0,0.0, 0.00960868, 15973, 6099, 2079, 4020,a_plus_at_CompRow_loc, 238668, 41279.2, 58.6034, 109, 3, 1, 106, 13
60,0.0,0.0, 17,0.0, 14.808, 17613.5,0,0.0,0.0, 1.32708,0,0.0, 0.0675309, 2590, 291, 105, 186,allocPrune_domain, 978.525, 1189.45, 19.6515, 17, 0, 1, 17, 5
61,0.0,0.0, 24,0.0, 30.3196, 42690,0,0.0,0.0, 0.382908,0,0.0, 0.0329819, 3233, 352, 129, 223,allocPrune_lvl, 2371.67, 1408, 11.6096, 16, 1, 1, 15, 3
62,0.0,0.0, 1,0.0, 2.96419, 1733.07,0,0.0,0.0, 17.9823,0,0.0, 0.337361, 2193, 158, 59, 99,arrive_at_ublock, 96.2817, 584.669, 53.303, 13, 0, 1, 13, 12
63,0.0,0.0, 43,0.0, 29.2331, 115926,0,0.0,0.0, 0.975926,0,0.0, 0.0342078, 3585, 834, 297, 537,at_plus_a_dist, 6440.33, 3965.58, 28.5293, 27, 0, 1, 27, 7
64,0.0,0.0, 0,0.0, 0.21031, 0,0,0.0,0.0, 22.609,0,0.0, 4.75489, 1073, 1, 0, 1,atof, 0, 0, 4.75489, 1, 0, 1, 1, 1
65,0.0,0.0, 0,0.0, 0.84124, 3.36496,0,0.0,0.0, 5.65224,0,0.0, 1.18872, 1073, 4, 1, 3,atof, 0.186942, 4, 4.75489, 2, 1, 1, 1, 1
66,0.0,0.0, 0,0.0, 0.21031, 0,0,0.0,0.0, 22.609,0,0.0, 4.75489, 11365, 1, 0, 1,atoi, 0, 0, 4.75489, 1, 0, 1, 1, 1
67,0.0,0.0, 0,0.0, 1.05155, 5.25775,0,0.0,0.0, 4.52179,0,0.0, 0.950978, 11365, 5, 1, 4,atoi, 0.292097, 5, 4.75489, 2, 1, 1, 1, 1
68,0.0,0.0, 0,0.0, 0.21031, 0,0,0.0,0.0, 22.609,0,0.0, 4.75489, 11474, 1, 0, 1,atol, 0, 0, 4.75489, 1, 0, 1, 1, 1
69,0.0,0.0, 0,0.0, 1.05155, 0,0,0.0,0.0, 4.52179,0,0.0, 0.950978, 11474, 5, 1, 4,atol, 0, 0, 4.75489, 1, 0, 1, 1, 1
70,0.0,0.0, 0,0.0, 0.21031, 0,0,0.0,0.0, 22.609,0,0.0, 4.75489, 11626, 1, 0, 1,atoll, 0, 0, 4.75489, 1, 0, 1, 1, 1
71,0.0,0.0, 0,0.0, 1.05155, 5.25775,0,0.0,0.0, 4.52179,0,0.0, 0.950978, 11626, 5, 1, 4,atoll, 0.292097, 5, 4.75489, 2, 1, 1, 1, 1
72,0.0,0.0, 41,0.0, 28.6882, 136699,0,0.0,0.0, 1.15794,0,0.0, 0.0348576, 1386, 953, 281, 672,bcast_tree, 7594.39, 4765, 33.2193, 32, 15, 1, 17, 8
73,0.0,0.0, 2061,0.0, 174.878, 2.92172e+07,0,0.0,0.0, 0.805601,0,0.0, 0.00571829, 13766, 24637, 8278, 16359,blk_symbfact, 1.62318e+06, 167072, 140.881, 110, 5, 1, 105, 27
74,0.0,0.0, 0,0.0, 0.254434, 3.57143,0,0.0,0.0, 77.2362,0,0.0, 3.9303, 1375, 5, 0, 5,bsearch, 0.198413, 14.0368, 19.6515, 7, 0, 1, 7, 5
75,0.0,0.0, 1,0.0, 1.20589, 50.6476,0,0.0,0.0, 9.62741,0,0.0, 0.82926, 210, 14, 4, 10,calcNodeListWeight, 2.81375, 42, 11.6096, 8, 2, 1, 6, 3
76,0.0,0.0, 4,0.0, 7.92445, 2522.1,0,0.0,0.0, 1.46504,0,0.0, 0.126192, 501, 92, 31, 61,calcNumNodes, 140.116, 318.268, 11.6096, 11, 2, 1, 9, 3
77,0.0,0.0, 0,0.0, 5.51266, 1442.1,0,0.0,0.0, 2.106,0,0.0, 0.181401, 966, 64, 20, 44,calcTopInfoForest, 80.1166, 261.598, 11.6096, 17, 6, 1, 11, 3
78,0.0,0.0, 6,0.0, 7.28573, 3869.81,0,0.0,0.0, 2.12879,0,0.0, 0.137255, 1235, 113, 38, 75,calcTreeWeight, 214.99, 531.15, 15.5098, 26, 2, 1, 24, 4
79,0.0,0.0, 4,0.0, 4.25, 405.663,0,0.0,0.0, 1.88235,0,0.0, 0.235294, 440, 34, 13, 21,calculate_num_children, 22.5368, 95.4501, 8, 7, 0, 1, 7, 2
80,0.0,0.0, 3,0.0, 5.5, 484,0,0.0,0.0, 1.45455,0,0.0, 0.181818, 230, 44, 13, 31,checkConsistancyPermTopOrder, 26.8889, 88, 8, 4, 0, 1, 4, 2
81,0.0,0.0, 15,0.0, 19.2082, 19891.6,0,0.0,0.0, 0.604411,0,0.0, 0.0520612, 792, 223, 70, 153,checkIntVector3d, 1105.09, 1035.58, 11.6096, 25, 3, 1, 22, 3
82,0.0,0.0, 2,0.0, 2.77245, 441.148,0,0.0,0.0, 5.59426,0,0.0, 0.360692, 584, 43, 13, 30,checkRecvLDiag, 24.5082, 159.119, 15.5098, 13, 2, 1, 11, 4
83,0.0,0.0, 2,0.0, 2.38559, 360.788,0,0.0,0.0, 6.50144,0,0.0, 0.419183, 497, 37, 11, 26,checkRecvUDiag, 20.0438, 151.236, 15.5098, 17, 6, 1, 11, 4
84,0.0,0.0, 5,0.0, 8.87194, 3161.26,0,0.0,0.0, 1.30858,0,0.0, 0.112715, 419, 103, 29, 74,check_perm_dist, 175.626, 356.321, 11.6096, 11, 2, 1, 9, 3
85,0.0,0.0, 7,0.0, 18.0531, 20219.5,0,0.0,0.0, 0.859118,0,0.0, 0.0553921, 431, 280, 81, 199,check_repfnz_dist, 1123.31, 1120, 15.5098, 16, 2, 1, 14, 4
86,0.0,0.0, 3,0.0, 3.875, 190.394,0,0.0,0.0, 2.06452,0,0.0, 0.258065, 91140, 31, 10, 21,clear_mark, 10.5774, 49.1338, 8, 3, 0, 1, 3, 2
87,0.0,0.0, 0,0.0, 1.125, 10.125,0,0.0,0.0, 7.11111,0,0.0, 0.888889, 85, 9, 3, 6,cmpfunc, 0.5625, 9, 8, 2, 0, 1, 2, 2
88,0.0,0.0, 0,0.0, 1.125, 10.125,0,0.0,0.0, 7.11111,0,0.0, 0.888889, 91, 9, 3, 6,cmpfunc, 0.5625, 9, 8, 2, 0, 1, 2, 2
89,0.0,0.0, 0,0.0, 1.125, 10.125,0,0.0,0.0, 7.11111,0,0.0, 0.888889, 113, 9, 3, 6,cmpfuncInd, 0.5625, 9, 8, 2, 0, 1, 2, 2
90,0.0,0.0, 0,0.0, 1.125, 10.125,0,0.0,0.0, 7.11111,0,0.0, 0.888889, 134, 9, 3, 6,cmpfuncIndDouble, 0.5625, 9, 8, 2, 0, 1, 2, 2
91,0.0,0.0, 537,0.0, 166.404, 7.13662e+06,0,0.0,0.0, 0.289089,0,0.0, 0.00600946, 4620, 8005, 2828, 5177,cntsVtcs, 396479, 42887.2, 48.1057, 41, 1, 1, 40, 11
92,0.0,0.0, 11,0.0, 10.5155, 14649.7,0,0.0,0.0, 2.71307,0,0.0, 0.0950978, 4627, 300, 100, 200,colamd, 813.874, 1393.16, 28.5293, 25, 6, 1, 19, 7
93,0.0,0.0, 3,0.0, 5.16812, 982.953,0,0.0,0.0, 2.2464,0,0.0, 0.193494, 340, 60, 19, 41,colamd_recommended, 54.6085, 190.196, 11.6096, 9, 6, 1, 3, 3
94,0.0,0.0, 0,0.0, 0.84124, 3.36496,0,0.0,0.0, 5.65224,0,0.0, 1.18872, 91, 4, 1, 3,colamd_report, 0.186942, 4, 4.75489, 2, 1, 1, 1, 1
95,0.0,0.0, 2,0.0, 5.46806, 225.333,0,0.0,0.0, 0.869575,0,0.0, 0.18288, 540, 26, 9, 17,colamd_set_defaults, 12.5185, 41.209, 4.75489, 3, 1, 1, 2, 1
96,0.0,0.0, 585,0.0, 190.871, 1.09599e+07,0,0.0,0.0, 0.279261,0,0.0, 0.00523914, 6814, 10174, 3386, 6788,column_dfs, 608885, 57420.6, 53.303, 50, 1, 1, 49, 12
97,0.0,0.0, 0,0.0, 0.625, 3.125,0,0.0,0.0, 12.8,0,0.0, 1.6, 129, 5, 1, 4,compare_pair, 0.173611, 5, 8, 2, 0, 1, 2, 2
98,0.0,0.0, 1,0.0, 1.72271, 80,0,0.0,0.0, 6.73919,0,0.0, 0.580482, 135, 20, 6, 14,copy_mem_int, 4.44444, 46.4386, 11.6096, 5, 1, 1, 4, 3
99,0.0,0.0, 1,0.0, 1.72271, 96.725,0,0.0,0.0, 6.73919,0,0.0, 0.580482, 185, 20, 6, 14,copy_mem_int, 5.37361, 56.1471, 11.6096, 7, 1, 1, 6, 3
100,0.0,0.0, 7,0.0, 13, 18596.6,0,0.0,0.0, 1.84615,0,0.0, 0.0769231, 1274, 312, 110, 202,countnz_dist, 1033.14, 1430.51, 24, 24, 5, 1, 19, 6
101,0.0,0.0, 12,0.0, 19.2782, 25318.1,0,0.0,0.0, 0.804525,0,0.0, 0.0518722, 1111, 299, 101, 198,createComm, 1406.56, 1313.3, 15.5098, 21, 2, 1, 19, 4
102,0.0,0.0, 5,0.0, 3.66667, 1370.66,0,0.0,0.0, 6.54545,0,0.0, 0.272727, 927, 88, 29, 59,createForestNew, 76.148, 373.818, 24, 19, 0, 1, 19, 6
103,0.0,0.0, 8,0.0, 21.5338, 24352.4,0,0.0,0.0, 0.539135,0,0.0, 0.0464386, 1538, 250, 76, 174,d3D_printMemUse, 1352.91, 1130.89, 11.6096, 23, 4, 1, 19, 3
104,0.0,0.0, 0,0.0, 1.37816, 34.9494,0,0.0,0.0, 8.42398,0,0.0, 0.725603, 274, 16, 5, 11,dAllocGlu_3d, 1.94164, 25.3594, 11.6096, 3, 0, 1, 3, 3
105,0.0,0.0, 7,0.0, 12.1451, 7636.58,0,0.0,0.0, 0.955913,0,0.0, 0.0823379, 1888, 141, 47, 94,dAllocLlu, 424.255, 628.78, 11.6096, 22, 4, 1, 18, 3
106,0.0,0.0, 4,0.0, 5.62535, 5782.85,0,0.0,0.0, 7.64744,0,0.0, 0.177767, 1188, 242, 72, 170,dBcast_LPanel, 321.269, 1028, 43.0196, 19, 3, 1, 16, 10
107,0.0,0.0, 8,0.0, 9.51286, 14628.4,0,0.0,0.0, 4.00024,0,0.0, 0.105121, 1238, 362, 104, 258,dBcast_UPanel, 812.689, 1537.75, 38.0537, 19, 0, 1, 19, 9
108,0.0,0.0, 4,0.0, 15.25, 6669.82,0,0.0,0.0, 0.52459,0,0.0, 0.0655738, 949, 122, 37, 85,dClone_CompRowLoc_Matrix_dist, 370.546, 437.365, 8, 12, 0, 1, 12, 2
109,0.0,0.0, 7,0.0, 6.56966, 7098.39,0,0.0,0.0, 5.79235,0,0.0, 0.152215, 1052, 250, 93, 157,dCompRow_to_CompCol_dist, 394.355, 1080.48, 38.0537, 20, 6, 1, 14, 9
110,0.0,0.0, 3,0.0, 10.375, 2583.38,0,0.0,0.0, 0.771084,0,0.0, 0.0963855, 600, 83, 28, 55,dCopy_CompCol_Matrix_dist, 143.521, 249, 8, 8, 1, 1, 7, 2
111,0.0,0.0, 0,0.0, 4, 297.207,0,0.0,0.0, 2,0,0.0, 0.25, 431, 32, 9, 23,dCopy_CompRowLoc_Matrix_dist, 16.5115, 74.3017, 8, 5, 1, 1, 4, 2
112,0.0,0.0, 3,0.0, 4.125, 1225.12,0,0.0,0.0, 5.81818,0,0.0, 0.242424, 338, 99, 32, 67,dCopy_Dense_Matrix_dist, 68.0625, 297, 24, 8, 0, 1, 8, 6
113,0.0,0.0, 1,0.0, 1.34822, 312.788,0,0.0,0.0, 31.9083,0,0.0, 0.741716, 578, 58, 15, 43,dCreate_CompCol_Matrix_dist, 17.3771, 232, 43.0196, 16, 3, 1, 13, 10
114,0.0,0.0, 1,0.0, 1.2382, 319.277,0,0.0,0.0, 43.0486,0,0.0, 0.807621, 707, 66, 17, 49,dCreate_CompRowLoc_Matrix_dist, 17.7376, 257.855, 53.303, 15, 0, 1, 15, 12
115,0.0,0.0, 1,0.0, 1.50515, 260.348,0,0.0,0.0, 22.0704,0,0.0, 0.664386, 490, 50, 13, 37,dCreate_Dense_Matrix_dist, 14.4638, 172.972, 33.2193, 11, 0, 1, 11, 8
116,0.0,0.0, 1,0.0, 1.24566, 363.733,0,0.0,0.0, 47.0459,0,0.0, 0.802786, 821, 73, 19, 54,dCreate_SuperNode_Matrix_dist, 20.2074, 292, 58.6034, 16, 0, 1, 16, 13
117,0.0,0.0, 0,0.0, 1.05155, 0,0,0.0,0.0, 4.52179,0,0.0, 0.950978, 154, 5, 2, 3,dDeAllocGlu_3d, 0, 0, 4.75489, 1, 0, 1, 1, 1
